"q5","q25","q50","q75","q95","id","baseweek","start","end","q95old","window","basedate","startdate","enddate"
1,2,5,6,7,"11","2010W40","2010W14","2010W18",11,"4",2010-10-03,2010-04-04,2010-05-02
1,3,5,6,8,"11","2010W40","2010W10","2010W18",11,"8",2010-10-03,2010-03-07,2010-05-02
1,3,5,6,11,"11","2010W40","2009W44","2010W18",11,"26",2010-10-03,2009-11-01,2010-05-02
1,2,4,5,10,"11","2010W40","2009W18","2010W18",11,"52",2010-10-03,2009-05-03,2010-05-02
1,3,5,6,6,"11","2010W41","2010W15","2010W19",11,"4",2010-10-10,2010-04-11,2010-05-09
1,3,5,6,7,"11","2010W41","2010W11","2010W19",11,"8",2010-10-10,2010-03-14,2010-05-09
1,3,5,6,11,"11","2010W41","2009W45","2010W19",11,"26",2010-10-10,2009-11-08,2010-05-09
1,2,4,6,10,"11","2010W41","2009W19","2010W19",11,"52",2010-10-10,2009-05-10,2010-05-09
1,1,3,5,7,"11","2010W42","2010W16","2010W20",11,"4",2010-10-17,2010-04-18,2010-05-16
1,3,4,6,7,"11","2010W42","2010W12","2010W20",11,"8",2010-10-17,2010-03-21,2010-05-16
1,3,5,6,11,"11","2010W42","2009W46","2010W20",11,"26",2010-10-17,2009-11-15,2010-05-16
1,2,4,5,10,"11","2010W42","2009W20","2010W20",11,"52",2010-10-17,2009-05-17,2010-05-16
1,1,3,5,7,"11","2010W43","2010W17","2010W21",11,"4",2010-10-24,2010-04-25,2010-05-23
1,2,5,6,7,"11","2010W43","2010W13","2010W21",11,"8",2010-10-24,2010-03-28,2010-05-23
1,3,5,6,11,"11","2010W43","2009W47","2010W21",11,"26",2010-10-24,2009-11-22,2010-05-23
1,2,4,5,10,"11","2010W43","2009W21","2010W21",11,"52",2010-10-24,2009-05-24,2010-05-23
1,3,4,5,7,"11","2010W44","2010W18","2010W22",11,"4",2010-10-31,2010-05-02,2010-05-30
1,2,5,6,7,"11","2010W44","2010W14","2010W22",11,"8",2010-10-31,2010-04-04,2010-05-30
1,3,5,6,11,"11","2010W44","2009W48","2010W22",11,"26",2010-10-31,2009-11-29,2010-05-30
1,2,4,5,10,"11","2010W44","2009W22","2010W22",11,"52",2010-10-31,2009-05-31,2010-05-30
1,2,4,5,7,"11","2010W45","2010W19","2010W23",11,"4",2010-11-07,2010-05-09,2010-06-06
1,3,5,6,6,"11","2010W45","2010W15","2010W23",11,"8",2010-11-07,2010-04-11,2010-06-06
1,3,5,6,11,"11","2010W45","2009W49","2010W23",11,"26",2010-11-07,2009-12-06,2010-06-06
1,2,4,5,10,"11","2010W45","2009W23","2010W23",11,"52",2010-11-07,2009-06-07,2010-06-06
1,1,2,4,5,"11","2010W46","2010W20","2010W24",11,"4",2010-11-14,2010-05-16,2010-06-13
1,1,3,5,7,"11","2010W46","2010W16","2010W24",11,"8",2010-11-14,2010-04-18,2010-06-13
1,3,5,6,10,"11","2010W46","2009W50","2010W24",11,"26",2010-11-14,2009-12-13,2010-06-13
1,2,4,5,10,"11","2010W46","2009W24","2010W24",11,"52",2010-11-14,2009-06-14,2010-06-13
1,1,1,1,1,"11","2010W47","2010W23","2010W27",10,"4",2010-11-21,2010-06-06,2010-07-04
1,1,3,5,7,"11","2010W47","2010W19","2010W27",10,"8",2010-11-21,2010-05-09,2010-07-04
1,3,5,6,10,"11","2010W47","2010W01","2010W27",10,"26",2010-11-21,2010-01-03,2010-07-04
1,2,4,5,10,"11","2010W47","2009W27","2010W27",10,"52",2010-11-21,2009-07-05,2010-07-04
1,1,1,1,1,"11","2010W48","2010W24","2010W28",10,"4",2010-11-28,2010-06-13,2010-07-11
1,1,1,3,5,"11","2010W48","2010W20","2010W28",10,"8",2010-11-28,2010-05-16,2010-07-11
1,3,5,6,10,"11","2010W48","2010W02","2010W28",10,"26",2010-11-28,2010-01-10,2010-07-11
1,2,4,5,10,"11","2010W48","2009W28","2010W28",10,"52",2010-11-28,2009-07-12,2010-07-11
1,1,1,1,1,"11","2010W49","2010W25","2010W29",10,"4",2010-12-05,2010-06-20,2010-07-18
2,2,3,4,5,"11","2010W49","2010W21","2010W29",10,"8",2010-12-05,2010-05-23,2010-07-18
1,3,5,6,10,"11","2010W49","2010W03","2010W29",10,"26",2010-12-05,2010-01-17,2010-07-18
1,2,4,5,10,"11","2010W49","2009W29","2010W29",10,"52",2010-12-05,2009-07-19,2010-07-18
1,1,1,1,1,"11","2010W50","2010W26","2010W30",10,"4",2010-12-12,2010-06-27,2010-07-25
1,1,1,1,1,"11","2010W50","2010W22","2010W30",10,"8",2010-12-12,2010-05-30,2010-07-25
1,3,5,6,10,"11","2010W50","2010W04","2010W30",10,"26",2010-12-12,2010-01-24,2010-07-25
1,2,4,5,10,"11","2010W50","2009W30","2010W30",10,"52",2010-12-12,2009-07-26,2010-07-25
1,1,1,1,1,"11","2010W51","2010W27","2010W31",10,"4",2010-12-19,2010-07-04,2010-08-01
1,1,1,1,1,"11","2010W51","2010W23","2010W31",10,"8",2010-12-19,2010-06-06,2010-08-01
1,3,5,6,10,"11","2010W51","2010W05","2010W31",10,"26",2010-12-19,2010-01-31,2010-08-01
1,2,4,5,10,"11","2010W51","2009W31","2010W31",10,"52",2010-12-19,2009-08-02,2010-08-01
2,2,2,2,2,"11","2010W52","2010W28","2010W32",10,"4",2010-12-26,2010-07-11,2010-08-08
2,2,2,2,2,"11","2010W52","2010W24","2010W32",10,"8",2010-12-26,2010-06-13,2010-08-08
1,3,5,6,9,"11","2010W52","2010W06","2010W32",10,"26",2010-12-26,2010-02-07,2010-08-08
1,2,4,5,10,"11","2010W52","2009W32","2010W32",10,"52",2010-12-26,2009-08-09,2010-08-08
2,2,2,2,2,"11","2011W01","2010W31","2010W35",9,"4",2011-01-02,2010-08-01,2010-08-29
2,2,2,2,2,"11","2011W01","2010W27","2010W35",9,"8",2011-01-02,2010-07-04,2010-08-29
1,3,5,6,8,"11","2011W01","2010W09","2010W35",9,"26",2011-01-02,2010-02-28,2010-08-29
1,2,4,6,10,"11","2011W01","2009W35","2010W35",9,"52",2011-01-02,2009-08-30,2010-08-29
NA,NA,NA,NA,NA,"11","2011W02","2010W34","2010W38",8,"4",2011-01-09,2010-08-22,2010-09-19
2,2,2,2,2,"11","2011W02","2010W30","2010W38",8,"8",2011-01-09,2010-07-25,2010-09-19
1,3,4,6,7,"11","2011W02","2010W12","2010W38",8,"26",2011-01-09,2010-03-21,2010-09-19
1,3,5,6,11,"11","2011W02","2009W38","2010W38",8,"52",2011-01-09,2009-09-20,2010-09-19
NA,NA,NA,NA,NA,"11","2011W03","2010W37","2010W41",7,"4",2011-01-16,2010-09-12,2010-10-10
NA,NA,NA,NA,NA,"11","2011W03","2010W33","2010W41",7,"8",2011-01-16,2010-08-15,2010-10-10
1,3,5,6,6,"11","2011W03","2010W15","2010W41",7,"26",2011-01-16,2010-04-11,2010-10-10
1,3,5,6,11,"11","2011W03","2009W41","2010W41",7,"52",2011-01-16,2009-10-11,2010-10-10
NA,NA,NA,NA,NA,"11","2011W04","2010W40","2010W44",6,"4",2011-01-23,2010-10-03,2010-10-31
NA,NA,NA,NA,NA,"11","2011W04","2010W36","2010W44",6,"8",2011-01-23,2010-09-05,2010-10-31
1,2,3,5,7,"11","2011W04","2010W18","2010W44",6,"26",2011-01-23,2010-05-02,2010-10-31
1,3,5,6,11,"11","2011W04","2009W44","2010W44",6,"52",2011-01-23,2009-11-01,2010-10-31
NA,NA,NA,NA,NA,"11","2011W05","2010W39","2010W43",7,"4",2011-01-30,2010-09-26,2010-10-24
NA,NA,NA,NA,NA,"11","2011W05","2010W35","2010W43",7,"8",2011-01-30,2010-08-29,2010-10-24
1,1,3,5,7,"11","2011W05","2010W17","2010W43",7,"26",2011-01-30,2010-04-25,2010-10-24
1,3,5,6,11,"11","2011W05","2009W43","2010W43",7,"52",2011-01-30,2009-10-25,2010-10-24
NA,NA,NA,NA,NA,"11","2011W06","2010W40","2010W44",7,"4",2011-02-06,2010-10-03,2010-10-31
NA,NA,NA,NA,NA,"11","2011W06","2010W36","2010W44",7,"8",2011-02-06,2010-09-05,2010-10-31
1,2,3,5,7,"11","2011W06","2010W18","2010W44",7,"26",2011-02-06,2010-05-02,2010-10-31
1,3,5,6,11,"11","2011W06","2009W44","2010W44",7,"52",2011-02-06,2009-11-01,2010-10-31
NA,NA,NA,NA,NA,"11","2011W07","2010W41","2010W45",7,"4",2011-02-13,2010-10-10,2010-11-07
NA,NA,NA,NA,NA,"11","2011W07","2010W37","2010W45",7,"8",2011-02-13,2010-09-12,2010-11-07
1,1,3,5,7,"11","2011W07","2010W19","2010W45",7,"26",2011-02-13,2010-05-09,2010-11-07
1,3,5,6,11,"11","2011W07","2009W45","2010W45",7,"52",2011-02-13,2009-11-08,2010-11-07
NA,NA,NA,NA,NA,"11","2011W08","2010W42","2010W46",7,"4",2011-02-20,2010-10-17,2010-11-14
NA,NA,NA,NA,NA,"11","2011W08","2010W38","2010W46",7,"8",2011-02-20,2010-09-19,2010-11-14
1,1,2,3,5,"11","2011W08","2010W20","2010W46",7,"26",2011-02-20,2010-05-16,2010-11-14
1,3,5,6,11,"11","2011W08","2009W46","2010W46",7,"52",2011-02-20,2009-11-15,2010-11-14
NA,NA,NA,NA,NA,"11","2011W09","2010W47","2010W51",5,"4",2011-02-27,2010-11-21,2010-12-19
NA,NA,NA,NA,NA,"11","2011W09","2010W43","2010W51",5,"8",2011-02-27,2010-10-24,2010-12-19
2,2,2,2,2,"11","2011W09","2010W25","2010W51",5,"26",2011-02-27,2010-06-20,2010-12-19
1,3,5,6,10,"11","2011W09","2009W51","2010W51",5,"52",2011-02-27,2009-12-20,2010-12-19
NA,NA,NA,NA,NA,"11","2011W10","2011W02","2011W06",2,"4",2011-03-06,2011-01-09,2011-02-06
NA,NA,NA,NA,NA,"11","2011W10","2010W50","2011W06",2,"8",2011-03-06,2010-12-12,2011-02-06
2,2,2,2,2,"11","2011W10","2010W32","2011W06",2,"26",2011-03-06,2010-08-08,2011-02-06
1,3,5,6,9,"11","2011W10","2010W06","2011W06",2,"52",2011-03-06,2010-02-07,2011-02-06
NA,NA,NA,NA,NA,"11","2011W11","2011W03","2011W07",2,"4",2011-03-13,2011-01-16,2011-02-13
NA,NA,NA,NA,NA,"11","2011W11","2010W51","2011W07",2,"8",2011-03-13,2010-12-19,2011-02-13
NA,NA,NA,NA,NA,"11","2011W11","2010W33","2011W07",2,"26",2011-03-13,2010-08-15,2011-02-13
1,3,5,6,9,"11","2011W11","2010W07","2011W07",2,"52",2011-03-13,2010-02-14,2011-02-13
0,0,0,0,0,"11","2011W12","2011W04","2011W08",2,"4",2011-03-20,2011-01-23,2011-02-20
0,0,0,0,0,"11","2011W12","2010W52","2011W08",2,"8",2011-03-20,2010-12-26,2011-02-20
0,0,0,0,0,"11","2011W12","2010W34","2011W08",2,"26",2011-03-20,2010-08-22,2011-02-20
1,3,5,6,9,"11","2011W12","2010W08","2011W08",2,"52",2011-03-20,2010-02-21,2011-02-20
NA,NA,NA,NA,NA,"11","2011W13","2011W09","2011W13",0,"4",2011-03-27,2011-02-27,2011-03-27
0,0,0,0,0,"11","2011W13","2011W05","2011W13",0,"8",2011-03-27,2011-01-30,2011-03-27
0,0,0,0,0,"11","2011W13","2010W39","2011W13",0,"26",2011-03-27,2010-09-26,2011-03-27
1,2,4,6,7,"11","2011W13","2010W13","2011W13",0,"52",2011-03-27,2010-03-28,2011-03-27
NA,NA,NA,NA,NA,"11","2011W14","2011W10","2011W14",0,"4",2011-04-03,2011-03-06,2011-04-03
0,0,0,0,0,"11","2011W14","2011W06","2011W14",0,"8",2011-04-03,2011-02-06,2011-04-03
0,0,0,0,0,"11","2011W14","2010W40","2011W14",0,"26",2011-04-03,2010-10-03,2011-04-03
1,2,5,6,7,"11","2011W14","2010W14","2011W14",0,"52",2011-04-03,2010-04-04,2011-04-03
NA,NA,NA,NA,NA,"11","2011W15","2011W11","2011W15",0,"4",2011-04-10,2011-03-13,2011-04-10
0,0,0,0,0,"11","2011W15","2011W07","2011W15",0,"8",2011-04-10,2011-02-13,2011-04-10
0,0,0,0,0,"11","2011W15","2010W41","2011W15",0,"26",2011-04-10,2010-10-10,2011-04-10
1,2,5,6,6,"11","2011W15","2010W15","2011W15",0,"52",2011-04-10,2010-04-11,2011-04-10
NA,NA,NA,NA,NA,"11","2011W16","2011W12","2011W16",0,"4",2011-04-17,2011-03-20,2011-04-17
0,0,0,0,0,"11","2011W16","2011W08","2011W16",0,"8",2011-04-17,2011-02-20,2011-04-17
0,0,0,0,0,"11","2011W16","2010W42","2011W16",0,"26",2011-04-17,2010-10-17,2011-04-17
1,1,3,5,6,"11","2011W16","2010W16","2011W16",0,"52",2011-04-17,2010-04-18,2011-04-17
NA,NA,NA,NA,NA,"11","2011W17","2011W13","2011W17",0,"4",2011-04-24,2011-03-27,2011-04-24
NA,NA,NA,NA,NA,"11","2011W17","2011W09","2011W17",0,"8",2011-04-24,2011-02-27,2011-04-24
0,0,0,0,0,"11","2011W17","2010W43","2011W17",0,"26",2011-04-24,2010-10-24,2011-04-24
1,1,2,5,7,"11","2011W17","2010W17","2011W17",0,"52",2011-04-24,2010-04-25,2011-04-24
1,1,1,1,1,"11","2011W18","2011W14","2011W18",0,"4",2011-05-01,2011-04-03,2011-05-01
1,1,1,1,1,"11","2011W18","2011W10","2011W18",0,"8",2011-05-01,2011-03-06,2011-05-01
1,1,1,1,1,"11","2011W18","2010W44","2011W18",0,"26",2011-05-01,2010-10-31,2011-05-01
1,1,3,5,6,"11","2011W18","2010W18","2011W18",0,"52",2011-05-01,2010-05-02,2011-05-01
